Time,Glucose
14,90
14,86
15,93
15,93
15,83
15,80
16,83
16,87
16,90
16,86
17,84
17,83
17,80
17,79
18,78
18,78
18,78
18,78
19,78
19,82
19,89
19,98
20,100
20,95
20,88
20,83
21,84
21,91
21,100
21,100
22,98
22,101
22,102
22,106
23,117
23,114
23,92
23,73
0,67
0,71
0,74
3,82
3,72
4,68
4,76
4,83
4,85
5,85
5,82
5,82
5,82
6,81
6,84
6,84
6,83
7,84
7,85
7,80
7,76
8,79
8,75
8,69
8,72
9,78
9,70
9,58
9,57
10,76
10,81
10,81
10,77
11,76
11,82
11,78
11,80
12,86
12,88
12,114
12,157
13,150
13,111
13,93
13,106
14,119
14,119
15,103
15,89
15,91
16,100
16,96
16,94
16,105
17,109
17,112
17,117
17,114
18,106
18,101
18,100
18,96
19,94
19,99
19,102
19,102
20,101
20,94
20,96
20,105
21,101
21,95
21,99
21,102
22,100
22,93
22,89
22,100
23,120
23,112
23,97
23,97
0,102
0,104
0,104
0,101
1,104
1,130
1,166
1,184
2,191
2,140
2,126
3,118
3,106
3,83
3,77
4,94
4,109
4,112
4,111
5,110
5,106
5,98
5,92
6,89
6,86
6,84
6,86
7,87
7,84
7,83
7,83
8,81
8,79
8,82
8,85
9,86
9,86
9,87
9,86
10,84
10,83
10,86
10,88
11,90
11,89
11,86
11,87
12,91
12,89
12,87
12,104
13,137
13,151
13,127
13,101
14,91
14,84
14,75
14,84
15,104
15,113
15,102
15,85
16,87
16,105
16,110
16,88
17,91
17,108
17,106
17,97
18,91
18,89
18,89
18,88
19,88
19,88
19,94
19,103
20,102
20,93
20,88
20,90
21,97
21,99
21,100
21,105
22,102
22,89
22,81
22,80
23,81
23,82
23,82
23,83
0,107
0,148
0,160
0,133
1,102
1,93
1,98
1,104
2,100
3,90
3,86
3,82
3,85
4,89
4,80
4,74
4,85
5,91
5,90
5,88
5,88
6,89
6,88
6,87
6,85
7,81
7,80
7,82
7,83
8,84
8,88
8,87
8,83
9,81
9,82
9,83
9,80
10,79
10,81
10,86
11,87
11,85
11,101
11,136
12,163
12,101
12,72
12,78
13,96
13,102
13,98
13,89
14,86
14,89
14,91
14,90
15,86
15,94
15,114
15,116
16,106
16,101
16,101
16,104
17,97
17,96
17,100
17,105
18,105
18,102
18,100
18,99
19,98
19,97
19,100
19,107
20,107
20,102
20,97
20,98
21,102
21,95
21,83
21,81
22,85
22,88
22,88
22,86
23,86
23,86
23,86
23,87
0,87
0,87
0,95
0,126
1,163
1,181
1,180
1,166
2,145
2,129
2,126
2,124
3,118
3,112
3,106
3,96
4,95
4,95
4,90
4,86
5,86
5,90
5,89
5,81
6,75
6,80
6,82
6,80
7,83
7,81
7,83
7,109
8,135
8,118
8,86
8,69
9,66
9,78
9,94
9,99
10,88
10,84
10,97
10,103
11,89
11,77
11,75
11,83
12,83
12,80
12,84
12,93
13,99
13,92
13,79
13,83
14,101
14,109
14,100
14,94
15,95
15,95
15,91
15,90
16,90
16,88
16,96
16,113
17,118
17,114
17,114
17,115
18,103
18,83
18,80
18,93
19,113
19,124
19,110
19,82
20,68
20,65
20,80
20,87
21,85
21,85
21,97
21,96
4,83
5,83
5,82
5,81
5,80
6,81
6,82
6,82
6,83
7,85
7,86
7,83
7,80
8,76
8,77
8,82
8,83
9,80
9,78
9,79
9,80
10,80
10,82
10,84
10,80
11,79
11,83
11,92
11,94
12,83
12,81
12,105
12,129
13,109
13,76
13,70
13,76
14,81
14,98
14,110
14,106
15,113
15,112
15,92
15,81
16,88
16,95
16,88
16,74
17,86
17,112
17,108
17,76
18,72
18,105
18,125
18,109
19,99
19,104
19,114
19,119
20,118
20,107
20,97
20,97
21,102
21,100
21,97
21,113
22,115
22,98
22,91
22,92
23,90
23,88
23,90
23,94
0,83
0,69
0,78
0,90
1,89
1,80
1,78
1,82
2,82
2,82
2,83
2,81
3,81
3,82
3,83
3,83
4,78
4,73
4,74
4,78
5,77
5,76
5,78
5,79
6,79
6,78
6,76
6,73
7,71
7,75
7,77
7,76
8,79
8,78
8,75
8,78
9,81
9,82
9,84
10,86
10,85
10,85
10,83
11,81
11,81
11,82
11,82
12,82
12,83
12,93
12,112
13,120
13,108
13,89
13,84
14,93
14,102
14,105
14,105
15,102
15,98
15,102
15,106
16,104
16,100
16,96
16,98
17,102
17,96
17,89
17,87
22,87
22,76
22,73
22,84
23,92
23,77
23,70
23,79
0,87
0,90
0,93
0,91
1,91
1,95
1,94
1,94
2,87
2,79
2,82
2,87
3,88
3,88
3,85
3,84
4,81
4,78
4,84
4,91
5,90
5,86
5,83
5,87
6,88
6,86
6,84
6,83
7,82
7,83
7,83
7,86
8,92
8,90
8,81
8,91
9,116
9,127
9,115
9,96
10,90
10,97
10,97
10,94
11,100
11,94
11,77
11,72
12,78
12,80
12,78
12,79
13,86
13,84
13,82
13,87
14,90
14,102
14,134
14,175
15,152
15,103
15,85
15,90
16,105
16,103
16,96
16,93
17,105
17,118
17,110
17,98
18,101
18,102
18,98
18,97
19,96
19,92
19,90
19,92
20,91
20,90
20,87
20,86
21,88
21,92
21,93
21,85
22,80
22,86
22,90
23,89
23,87
23,86
23,94
0,112
0,128
0,121
0,105
1,105
1,106
1,94
1,91
2,103
2,102
2,93
2,91
3,92
3,89
3,82
3,80
4,78
4,75
4,77
4,79
5,79
5,80
5,79
5,78
6,79
6,77
6,75
6,75
7,73
7,74
7,74
7,70
8,71
8,71
8,72
8,74
9,78
9,80
9,79
9,79
10,83
10,107
10,128
10,114
11,80
11,66
11,65
11,84
12,124
12,138
12,111
12,85
13,78
13,80
13,85
13,97
14,102
14,106
14,116
14,108
15,100
15,88
15,91
15,111
16,113
16,102
16,94
16,102
17,125
17,134
17,120
17,104
18,101
18,106
18,110
18,112
19,111
19,104
19,99
19,97
20,98
20,94
20,91
20,93
21,93
21,91
21,88
21,92
22,96
22,95
22,91
22,90
23,88
23,87
0,84
1,83
1,81
1,83
1,85
2,85
2,83
2,82
2,82
3,79
3,79
3,79
3,78
4,78
4,79
4,80
4,80
5,82
5,83
5,80
5,79
6,79
6,82
6,84
6,83
7,82
7,80
7,80
7,81
8,81
8,81
9,80
9,79
9,80
9,83
10,84
10,84
10,86
10,88
11,90
11,91
11,86
11,85
12,84
12,85
12,87
12,86
13,88
13,106
13,140
13,156
14,136
14,105
14,82
14,69
15,66
15,83
15,94
15,92
16,88
16,89
16,95
16,101
17,99
17,100
17,102
17,100
18,100
18,100
18,96
18,93
19,94
19,94
19,93
19,92
20,92
20,96
20,100
20,95
21,88
21,86
21,87
21,88
22,88
22,88
22,89
22,89
23,90
23,86
23,82
23,83
0,83
0,84
0,84
0,85
1,86
1,88
1,94
1,93
2,91
2,91
2,90
2,88
3,86
3,87
3,86
3,85
4,86
4,87
5,87
5,88
5,88
5,84
6,82
6,93
6,115
6,122
7,111
7,107
7,111
7,112
8,103
8,88
8,77
8,75
9,79
9,85
9,86
9,85
10,87
10,88
10,82
10,74
11,73
11,77
11,79
11,82
12,84
12,79
12,81
12,86
13,110
13,143
13,157
13,154
14,137
14,115
14,107
14,115
15,120
15,113
15,104
15,94
16,89
16,91
16,91
16,87
17,89
17,98
17,110
17,117
18,112
18,106
18,108
18,109
19,97
19,83
19,84
19,97
20,111
20,114
20,107
20,100
21,100
21,101
21,104
21,104
22,99
22,97
22,80
22,80
23,88
23,91
23,88
23,85
0,86
0,86
0,98
0,127
1,142
1,125
1,103
1,103
2,104
2,93
2,86
2,81
3,76
4,78
4,78
4,78
4,80
5,81
5,79
5,75
5,74
6,75
6,77
6,79
6,79
7,80
7,80
7,80
7,82
8,85
8,81
8,75
8,73
9,74
9,75
9,75
9,76
10,77
10,79
10,83
10,87
11,90
11,89
11,88
11,85
12,95
12,116
12,117
12,96
13,86
15,87
15,87
15,87
15,88
16,94
16,113
16,136
16,137
17,120
17,106
17,96
17,90
18,88
18,93
18,104
18,94
19,74
19,69
19,72
19,87
20,113
20,111
20,82
20,71
21,77
21,84
21,82
21,82
22,86
22,85
22,100
4,75
5,75
5,76
5,76
5,74
6,70
6,64
6,62
6,68
7,74
7,72
7,72
7,73
8,72
8,73
8,72
8,71
9,71
9,71
9,71
9,73
10,75
10,73
10,70
10,71
11,70
11,70
11,73
11,77
12,78
12,78
12,79
13,84
13,96
13,105
13,103
14,96
14,89
14,95
14,118
15,127
15,115
15,106
15,104
16,101
16,102
16,109
16,106
17,95
17,102
17,111
17,108
18,101
18,98
18,98
18,98
19,95
19,90
19,85
19,88
20,98
20,104
20,93
20,76
21,71
21,73
21,76
21,85
22,91
22,84
22,79
2,134
2,105
2,93
3,88
3,82
3,89
3,94
4,90
4,81
4,79
4,84
5,82
5,79
5,83
5,83
6,76
6,74
6,76
6,73
7,78
7,78
7,70
7,70
8,72
8,69
8,68
8,68
9,66
9,70
9,76
9,82
10,89
10,91
10,88
10,80
11,81
11,83
11,79
11,83
12,104
12,124
12,117
12,95
13,81
16,84
16,81
16,84
17,83
17,81
17,95
17,110
18,106
18,100
18,94
18,90
19,90
19,95
19,109
19,118
20,116
20,103
20,86
20,77
21,89
21,102
21,103
21,100
22,89
22,81
22,87
22,101
23,115
23,108
23,89
23,80
0,82
0,82
0,85
1,94
1,94
1,80
1,67
2,73
2,79
2,76
2,78
3,80
3,79
3,81
3,82
4,79
4,75
4,74
4,77
5,77
5,75
5,72
5,74
6,75
6,75
6,77
6,75
7,74
7,74
7,73
7,72
8,72
8,73
8,75
8,76
9,73
9,71
9,72
9,74
10,78
10,76
10,76
10,81
11,82
11,80
11,79
11,82
12,82
12,95
10,98
10,95
10,90
11,102
